hospital_id,row_id,line_type,description,rev_code,local_code,code,ms_drg,apr_drg,eapg,hcpcs_cpt,modifiers,alt_hcpcs_cpt,thru,apc,icd,ndc,drug_hcpcs_multiplier,drug_quantity,drug_unit_of_measurement,drug_type_of_measurement,billing_class,setting,rate_category,payer_name,carrier,plan_type,standard_charge,standard_charge_percent,contracting_method,additional_generic_notes,additional_payer_specific_notes
140007,3.84393E+17,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCHM01_BC_HMOIP_OBS_SDC_ED_400, Blue Cross, HMO,52632.22,,,,
140007,1.13977E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,UNIHPP002_UNITED_HLTHCR_PPOPOSOA_87726_425, UnitedHealthcare, PPO,63071,,,,
140007,1.3194E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCIN01_BLUE_CROSS_INDEMNITYSUPPL_401, Blue Cross, PPO,61836.31,,,,
140007,1.35082E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCHMS00_BC_HMOOTH_OP_SVCS_400, Blue Cross, HMO,52632.22,,,,
140007,2.02667E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,CIGONE_CIGNA_One_Health_352, Cigna, HMO,42091.88,,,,
140007,2.50156E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,COVHM01_COVENTRY_HMO_353, Coventry, HMO,49323.66,,,,
140007,2.76882E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,NALCPP01_NALC_active_employees_350,Other, PPO,58832.42,,,,
140007,3.11976E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,max,Max_Negotiated_Rate, Blue Cross, PPO,63071,,,,
140007,3.16639E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCHM02_BC_HMOOTH_ALL_SEC_400, Cigna, HMO,52632.22,,,,
140007,3.57963E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCPP02_BLUE_CROSS_PPO_401, Blue Cross, HMO,61836.31,,,,
140007,3.955E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,CIGNHM01_CIGNA_HMO_352, Cigna, PPO,42091.88,,,,
140007,3.98791E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCHMAC01_BC_HMOACC458IPOBSSDCEDNST_400, Blue Cross, Local/Regional,52632.22,,,,
140007,4.04808E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,CIGNPP02_CIGNA_PPOPOSOA_350, Cigna, HMO,58832.42,,,,
140007,4.26256E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCLOC02_Blue_Cross_Locals_401, Great West, PPO,61836.31,,,,
140007,4.46028E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,CIGNHM01_CIGNA_HMO_401, Blue Cross, PPO,61836.31,,,,
140007,4.66616E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUMCR01_BC_MCR_PPO_401,Other, Other,61836.31,,,,
140007,4.66769E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,GREWPP00_Great_West_PPO_350, Aetna, HMO,58832.42,,,,
140007,4.67464E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCPP01_BLUE_CROSS_PPO_401, Healthlink, Local/Regional,61836.31,,,,
140007,4.82454E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,WCOTH00_WORKER_COMP_OTHER_401, Golden Rule/UnitedHealthcare, PPO,61836.31,,,,
140007,5.00003E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,AETBEHM01_AETNA_BETTER_HEALTH_ICP_401, Cigna, HMO,61836.31,,,,
140007,5.03036E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,HEASOI01_Healthlink_State_of_Illinois_356, Blue Cross, HMO,61467.5,,,,
140007,5.35508E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,GOLRPP00_GOLDEN_RULE_PPO_UHC_425, Blue Cross, Local/Regional,63071,,,,
140007,5.44814E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,CIGCON01_Cigna_Connect_Network_HMO_351, Blue Cross, HMO,33139,,,,
140007,5.80959E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCHMSC_BC_SILVER_CRIPOBSSDCEDNST_400, Great West, PPO,52632.22,,,,
140007,5.9209E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCOS01_BLUE_CROSS_OUT_OF_STATE_401, Cigna, PPO,61836.31,,,,
140007,6.23226E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCHMKI_BLUE_CROSS_HMO_KANE_IPA_400, UnitedHealthcare, PPO,52632.22,,,,
140007,6.32265E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,min,Min_Negotiated_Rate, Cigna, PPO,33139,,,,
140007,6.61593E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,FIRHPP01_FIRST_HEALTH_COVENTRY_353, Medicare, Medicare/Medicaid,49323.66,,,,
140007,6.76282E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,IMAGTPH00_IMAGINE_HEALTH_TPA_355, UnitedHealthcare, Medicare/Medicaid,61713.37,,,,
140007,7.11691E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,GREWPP02_GREAT_WEST_HEALTHCARE_350, Blue Cross, Local/Regional,58832.42,,,,
140007,9.24388E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,CIGNPP01_CIGNA_PPOPOSOA_401, Blue Cross, HMO,61836.31,,,,
140007,9.30247E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,UMRHM00_UMR_UNITED_MEDICAL_RESOURCES_425, Blue Cross, HMO,63071,,,,
140007,9.41518E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,CIGHPP01_CIGNAHEALTHLINK_350, Blue Cross, Local/Regional,58832.42,,,,
