id,ein,name,alt_name,system_name,addr,city,state,zip,phone,urban_rural,category,control_type,medicare_termination_status,last_updated,file_name,mrf_url,permalink,transparency_page,additional_notes
140001,,GRAHAM HOSPITAL ASSOCIATION,Graham Hospital,,210 WEST WALNUT STREET,CANTON,IL,61520,3096475240,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,,,,
140002,37-0661172,ALTON MEMORIAL HOSPITAL,Alton Memorial Hospital,BJC Healthcare,ONE MEMORIAL DRIVE,ALTON,IL,62002,6184637311,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2023-04-28,370661172_AltonMemorialHospital_standardcharges.json,https://www.bjc.org/Portals/0/PDF/rates/370661172_AltonMemorialHospital_standardcharges.json,,https://www.bjc.org/For-Patients-Visitors/Financial-Assistance-Billing-Resources/BJC-Hospital-Rates,
140003,,SARAH D CULBERTSON MEMORIAL HOSPITAL,,,238 S CONGRESS,RUSHVILLE,IL,62681,2173224321,R,Short Term,GOVERNMENT - COUNTY,OTHER-PROVIDER STATUS CHANGE,,,,,,
140004,,ABRAHAM LINCOLN MEMORIAL HOSPITAL,,,315 8TH ST,LINCOLN,IL,62656,2177322161,R,Short Term,FOR PROFIT - CORPORATION,OTHER-PROVIDER STATUS CHANGE,,,,,,
140005,,HARDIN COUNTY GENERAL HOSPITAL,,,FERRELL ROAD,ROSICLARE,IL,62982,6182856634,R,Short Term,FOR PROFIT - PARTNERSHIP,OTHER-PROVIDER STATUS CHANGE,,,,,,
140007,36-4195126,PRESENCE SAINT JOSEPH MEDICAL CENTER,Ascension Saint Joseph-Joliet,Ascension Healthcare,333 N MADISON ST,JOLIET,IL,60435,8157257133,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,2022-09-30,364195126_amita-health-saint-joseph-medical-center-joliet_standardcharges.xlsx,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/il/364195126_amita-health-saint-joseph-medical-center-joliet_standardcharges.xlsx,,https://healthcare.ascension.org/price-transparency/price-transparency-files,
140008,,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,Gottlieb Memorial Hospital,Trinity Health,701 WEST NORTH AVE,MELROSE PARK,IL,60160,7086813200,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,,,,
140009,,BEARDSTOWN HOSPITAL,,,BOX 350 BOULEVARD RD,BEARDSTOWN,IL,62618,2173232720,R,Short Term,GOVERNMENT - STATE,"VOLUNTARY-MERGER, CLOSURE",,,,,,
140010,,NORTHSHORE UNIVERSITY HEALTHSYSTEM EVANSTON HOSP,Evanston Hospital,NorthShore University Health System,2650 RIDGE AVE,EVANSTON,IL,60201,8474328000,U,Short Term,FOR PROFIT - CORPORATION,ACTIVE PROVIDER,,,,,,
140011,,HERRIN HOSPITAL,SIH Herrin Hospital,Southern Illinois Healthcare,201 S 14TH ST,HERRIN,IL,62948,6189422171,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,,,,
