hospital_id,row_id,line_type,description,rev_code,local_code,code,ms_drg,apr_drg,eapg,hcpcs_cpt,modifiers,alt_hcpcs_cpt,thru,apc,icd,ndc,drug_hcpcs_multiplier,drug_quantity,drug_unit_of_measurement,drug_type_of_measurement,billing_class,setting,rate_category,payer_name,carrier,plan_type,plan_name,standard_charge,standard_charge_percent,contracting_method,additional_generic_notes,additional_payer_specific_notes
140007,384392942892518513,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCHM01_BC_HMOIP_OBS_SDC_ED_400, Blue Cross, HMO,,52632.22,,,,
140007,1139771313861710341,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,UNIHPP002_UNITED_HLTHCR_PPOPOSOA_87726_425, UnitedHealthcare, PPO,,63071.0,,,,
140007,1319398181269347557,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCIN01_BLUE_CROSS_INDEMNITYSUPPL_401, Blue Cross, PPO,,61836.31,,,,
140007,1350819768465441978,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCHMS00_BC_HMOOTH_OP_SVCS_400, Blue Cross, HMO,,52632.22,,,,
140007,2026672431814271272,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,CIGONE_CIGNA_One_Health_352, Cigna, HMO,,42091.88,,,,
140007,2501558838199270179,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,COVHM01_COVENTRY_HMO_353, Coventry, HMO,,49323.66,,,,
140007,2768815205722811695,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,NALCPP01_NALC_active_employees_350,Other, PPO,,58832.42,,,,
140007,3119757973848857625,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,max,Max_Negotiated_Rate,Other, HMO,,63071.0,,,,
140007,3166385038317943795,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCHM02_BC_HMOOTH_ALL_SEC_400, Blue Cross, HMO,,52632.22,,,,
140007,3579633259987103981,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCPP02_BLUE_CROSS_PPO_401, Blue Cross, PPO,,61836.31,,,,
140007,3954997665887000536,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,CIGNHM01_CIGNA_HMO_352, Cigna, HMO,,42091.88,,,,
140007,3987912294457979937,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCHMAC01_BC_HMOACC458IPOBSSDCEDNST_400, Blue Cross, HMO,,52632.22,,,,
140007,4048078101569520944,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,CIGNPP02_CIGNA_PPOPOSOA_350, Cigna, PPO,,58832.42,,,,
140007,4262563318483520740,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCLOC02_Blue_Cross_Locals_401, Blue Cross, Local/Regional,,61836.31,,,,
140007,4460279384997720331,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,CIGNHM01_CIGNA_HMO_401, Cigna, HMO,,61836.31,,,,
140007,4666155447943303333,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUMCR01_BC_MCR_PPO_401, Blue Cross, PPO,,61836.31,,,,
140007,4667687527905279197,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,GREWPP00_Great_West_PPO_350, Great West, PPO,,58832.42,,,,
140007,4674638739168012908,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCPP01_BLUE_CROSS_PPO_401, Blue Cross, PPO,,61836.31,,,,
140007,4824544832743698641,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,WCOTH00_WORKER_COMP_OTHER_401,Other, Other,,61836.31,,,,
140007,5000027748104319755,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,AETBEHM01_AETNA_BETTER_HEALTH_ICP_401, Aetna, HMO,,61836.31,,,,
140007,5030363917377782848,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,HEASOI01_Healthlink_State_of_Illinois_356, Healthlink, Local/Regional,,61467.5,,,,
140007,5355076719793223686,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,GOLRPP00_GOLDEN_RULE_PPO_UHC_425, Golden Rule/UnitedHealthcare, PPO,,63071.0,,,,
140007,5448135260537137008,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,CIGCON01_Cigna_Connect_Network_HMO_351, Cigna, HMO,,33139.0,,,,
140007,5809586828714960115,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCHMSC_BC_SILVER_CRIPOBSSDCEDNST_400, Blue Cross, HMO,,52632.22,,,,
140007,5920896018971561176,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCOS01_BLUE_CROSS_OUT_OF_STATE_401, Blue Cross, Local/Regional,,61836.31,,,,
140007,6232260327547419277,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCHMKI_BLUE_CROSS_HMO_KANE_IPA_400, Blue Cross, HMO,,52632.22,,,,
140007,6322653424465707627,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,min,Min_Negotiated_Rate,Other, HMO,,33139.0,,,,
140007,6615929729073518637,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,FIRHPP01_FIRST_HEALTH_COVENTRY_353, Coventry, PPO,,49323.66,,,,
140007,6762820025937556938,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,IMAGTPH00_IMAGINE_HEALTH_TPA_355,Other, HMO,,61713.37,,,,
140007,7116907680583721428,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,GREWPP02_GREAT_WEST_HEALTHCARE_350, Great West, PPO,,58832.42,,,,
140007,9243880922831040088,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,CIGNPP01_CIGNA_PPOPOSOA_401, Cigna, PPO,,61836.31,,,,
140007,9302470910925488404,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,UMRHM00_UMR_UNITED_MEDICAL_RESOURCES_425, UnitedHealthcare, PPO,,63071.0,,,,
140007,9415183704610051335,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,CIGHPP01_CIGNAHEALTHLINK_350, Cigna, PPO,,58832.42,,,,
140007,9575527916743278798,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,MCR_MEDICARE_401, Medicare, Medicare/Medicaid,,61836.31,,,,
140007,9654770119875114545,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,UNIHMCR00_UNITED_HEALTHCARE_MEDICARE_401, UnitedHealthcare, PPO,,61836.31,,,,
140007,9995121473414249210,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCLOC01_BLUE_CROSS_LOCALS_401, Blue Cross, Local/Regional,,61836.31,,,,
140007,10290117733847888368,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCFEP01_BLUE_CROSS_FEDERAL_401, Blue Cross, Local/Regional,,61836.31,,,,
140007,10377778083245774684,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCHMDR_BC_SITE_99IPOBSSDCEDNST_400, Blue Cross, HMO,,52632.22,,,,
140007,10668606529600130140,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCOS02_BLUE_CROSS_OUT_OF_STATE_401, Blue Cross, Local/Regional,,61836.31,,,,
140007,11019580204841051076,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,HUMAHM02_HUM_HMOPOS_357, Humana, HMO,,41225.99,,,,
140007,11206016723533405624,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUECHS01_BLUE_CROSS_POSCHOICE_SELECT_399, Blue Cross, POS/Choice,,47554.47,,,,
140007,11345568144111065058,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCHMPC_BLUE_CROSS_HMO_PRIMARY_CARE_400, Blue Cross, HMO,,52632.22,,,,
140007,12342231989766816509,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,HUMAPP_Humana_PPO_358, Humana, PPO,,57945.15,,,,
140007,12417812587024457283,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUPHP01_Blue_Cross_PHPIPOBSSDCED_400, Blue Cross, HMO,,52632.22,,,,
140007,12613941665356237645,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUECHS01_BLUE_CROSS_POSCHOICE_SELECT_401, Blue Cross, POS/Choice,,61836.31,,,,
140007,13241792827050702231,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,HEALHM00_HEALTHLINK_HMO_356, Healthlink, HMO,,61467.5,,,,
140007,13286098726086403309,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,ANMCDIN01_Anthem_BC_IN_Medicaid_401,Blue Cross, Medicare/Medicaid,,61836.31,,,,
140007,13299866963263647317,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCHPP01_Blue_Choice_UniteHere_Select_399, Blue Cross, POS/Choice,,47554.47,,,,
140007,13452860613180036947,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,HEAAPP00_Health_Alliance_Other_354, Health Alliance, PPO,,44785.76,,,,
140007,13635574428644680640,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,HEAAPP01_HEALTH_ALLIANCE_PPO_354, Health Alliance, PPO,,44785.76,,,,
140007,14246077490623113113,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCHMSC02_BC_SILVER_CRCLINOPRCRREF_400, Blue Cross, HMO,,52632.22,,,,
140007,14257242251748873852,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,HUMAPP01_HUM_PPOEPO_358, Humana, PPO,,57945.15,,,,
140007,14407879334751675136,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,CIGNIN00_CIGNA_INDEMNITY_350, Cigna, PPO,,58832.42,,,,
140007,14718298949662245433,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCFEP02_BLUE_CROSS_FEDERAL_401, Blue Cross, Local/Regional,,61836.31,,,,
140007,14763819233829027404,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,CIGNTPH00_CIGNA_TPARENTAL_350, Cigna, PPO,,58832.42,,,,
140007,15188716991749254072,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,cash,SP_SELF_PAY_INSURANCE_401, Self Pay, Other,,61836.31,,,,
